graph_id,n,total_actions,total_transitions,algorithm,runtime_ms,iterations,converged,success,avg_value
medium_n200_s2_a3_case16_seed58,200,597,1137,dijkstra,0.275560,200,1,1,24.934001
medium_n200_s2_a3_case17_seed59,200,597,1137,vi,0.065544,7,1,1,24.478207
medium_n200_s2_a3_case17_seed59,200,597,1137,pi,0.349880,5,1,1,24.478207
medium_n200_s2_a3_case17_seed59,200,597,1137,dijkstra,0.269128,200,1,1,24.478207
medium_n200_s2_a3_case18_seed60,200,597,1137,vi,0.066094,7,1,1,27.218581
medium_n200_s2_a3_case18_seed60,200,597,1137,pi,0.280028,4,1,1,27.218581
medium_n200_s2_a3_case18_seed60,200,597,1137,dijkstra,0.257646,200,1,1,27.218581
medium_n200_s2_a3_case19_seed61,200,597,1137,vi,0.068780,8,1,1,26.424225
medium_n200_s2_a3_case19_seed61,200,597,1137,pi,0.341774,5,1,1,26.424225
medium_n200_s2_a3_case19_seed61,200,597,1137,dijkstra,0.268867,200,1,1,26.424225
medium_n200_s2_a3_case1_seed43,200,597,1137,vi,0.066075,7,1,1,24.941745
medium_n200_s2_a3_case1_seed43,200,597,1137,pi,0.338648,5,1,1,24.941745
medium_n200_s2_a3_case1_seed43,200,597,1137,dijkstra,0.264148,200,1,1,24.941745
medium_n200_s2_a3_case2_seed44,200,597,1137,vi,0.075663,7,1,1,26.059018
medium_n200_s2_a3_case2_seed44,200,597,1137,pi,0.336245,5,1,1,26.059018
medium_n200_s2_a3_case2_seed44,200,597,1137,dijkstra,0.278505,200,1,1,26.059018
medium_n200_s2_a3_case3_seed45,200,597,1137,vi,0.064151,7,1,1,27.133603
medium_n200_s2_a3_case3_seed45,200,597,1137,pi,0.332206,5,1,1,27.133603
medium_n200_s2_a3_case3_seed45,200,597,1137,dijkstra,0.270450,200,1,1,27.133603
medium_n200_s2_a3_case4_seed46,200,597,1137,vi,0.069150,8,1,1,25.192363
medium_n200_s2_a3_case4_seed46,200,597,1137,pi,0.336134,5,1,1,25.192363
medium_n200_s2_a3_case4_seed46,200,597,1137,dijkstra,0.264990,200,1,1,25.192363
medium_n200_s2_a3_case5_seed47,200,597,1137,vi,0.065865,7,1,1,24.328701
medium_n200_s2_a3_case5_seed47,200,597,1137,pi,0.269759,4,1,1,24.328701
medium_n200_s2_a3_case5_seed47,200,597,1137,dijkstra,0.275960,200,1,1,24.328701
medium_n200_s2_a3_case6_seed48,200,597,1137,vi,0.064853,7,1,1,24.731517
medium_n200_s2_a3_case6_seed48,200,597,1137,pi,0.335162,5,1,1,24.731517
medium_n200_s2_a3_case6_seed48,200,597,1137,dijkstra,0.267164,200,1,1,24.731517
medium_n200_s2_a3_case7_seed49,200,597,1137,vi,0.065774,7,1,1,26.127622
medium_n200_s2_a3_case7_seed49,200,597,1137,pi,0.332587,5,1,1,26.127622
medium_n200_s2_a3_case7_seed49,200,597,1137,dijkstra,0.290558,200,1,1,26.127622
medium_n200_s2_a3_case8_seed50,200,597,1137,vi,0.065814,7,1,1,26.430142
medium_n200_s2_a3_case8_seed50,200,597,1137,pi,0.400906,6,1,1,26.430142
medium_n200_s2_a3_case8_seed50,200,597,1137,dijkstra,0.285619,200,1,1,26.430142
medium_n200_s2_a3_case9_seed51,200,597,1137,vi,0.068990,8,1,1,24.438958
medium_n200_s2_a3_case9_seed51,200,597,1137,pi,0.406236,6,1,1,24.438958
medium_n200_s2_a3_case9_seed51,200,597,1137,dijkstra,0.285899,200,1,1,24.438958
medium_n20_s2_a3_case0_seed42,20,57,102,vi,0.006833,4,1,1,17.749232
medium_n20_s2_a3_case0_seed42,20,57,102,pi,0.019266,3,1,1,17.749232
medium_n20_s2_a3_case0_seed42,20,57,102,dijkstra,0.007073,20,1,1,17.749232
medium_n20_s2_a3_case10_seed52,20,57,102,vi,0.006302,5,1,1,16.819900
medium_n20_s2_a3_case10_seed52,20,57,102,pi,0.021791,4,1,1,16.819900
medium_n20_s2_a3_case10_seed52,20,57,102,dijkstra,0.006352,20,1,1,16.819900
medium_n20_s2_a3_case11_seed53,20,57,102,vi,0.006472,5,1,1,13.925784
medium_n20_s2_a3_case11_seed53,20,57,102,pi,0.022092,4,1,1,13.925784
medium_n20_s2_a3_case11_seed53,20,57,102,dijkstra,0.005822,20,1,1,13.925784
medium_n20_s2_a3_case12_seed54,20,57,102,vi,0.006492,5,1,1,19.821304
medium_n20_s2_a3_case12_seed54,20,57,102,pi,0.016992,3,1,1,19.821304
medium_n20_s2_a3_case12_seed54,20,57,102,dijkstra,0.006141,20,1,1,19.821304
medium_n20_s2_a3_case13_seed55,20,57,102,vi,0.005861,4,1,1,11.550045
medium_n20_s2_a3_case13_seed55,20,57,102,pi,0.021962,4,1,1,11.550045
medium_n20_s2_a3_case13_seed55,20,57,102,dijkstra,0.006832,20,1,1,11.550045
medium_n20_s2_a3_case14_seed56,20,57,102,vi,0.006222,5,1,1,15.079813
medium_n20_s2_a3_case14_seed56,20,57,102,pi,0.015849,3,1,1,15.079813
medium_n20_s2_a3_case14_seed56,20,57,102,dijkstra,0.006332,20,1,1,15.079813
medium_n20_s2_a3_case15_seed57,20,57,102,vi,0.006332,5,1,1,12.921534
medium_n20_s2_a3_case15_seed57,20,57,102,pi,0.017503,3,1,1,12.921534
medium_n20_s2_a3_case15_seed57,20,57,102,dijkstra,0.006021,20,1,1,12.921534
medium_n20_s2_a3_case16_seed58,20,57,102,vi,0.006282,5,1,1,14.254686
medium_n20_s2_a3_case16_seed58,20,57,102,pi,0.017513,3,1,1,14.254686
medium_n20_s2_a3_case16_seed58,20,57,102,dijkstra,0.006422,20,1,1,14.254686
medium_n20_s2_a3_case17_seed59,20,57,102,vi,0.005801,4,1,1,16.592333
